Class,Precision (%),Recall (%),F1-Score (%)
cataract,92.85714285714286,75.36231884057972,83.2
diabetic_retinopathy,96.47577092511013,100.0,98.20627802690582
glaucoma,67.05882352941175,28.35820895522388,39.86013986013986
normal,52.63157894736842,88.78504672897196,66.08695652173913
